13
11 20
7 11 11
2 3 5
2 6 3
2 1 4
2 4 2
5 2 3
4 6 2
3 4 6
3 4 6
2 3 5
3 4 6
6 4 5
1 2 4
1 3 8
1 4 1
1 4 4
4 2 3
3 4 2
2 4 1
3 4 2
3
1826 41042
1 770 51
2 1414 36
3 945 60
4 826 33
5 56 9
6 1267 6
7 1253 84
8 805 15
9 1757 48
10 1624 81
11 630 60
12 1666 51
13 280 27
14 322 3
15 1687 78
16 1008 57
17 637 6
18 1421 54
19 434 48
20 1190 81
21 588 36
22 448 33
23 1764 39
24 1428 33
25 798 39
26 378 48
27 518 78
28 35 63
29 119 72
30 315 12
31 1372 69
32 1568 78
33 1197 6
34 280 15
35 1351 6
36 889 63
37 1274 48
38 1631 6
39 1141 24
40 42 54
41 924 9
42 602 12
43 637 3
44 1288 15
45 1736 33
46 1764 42
47 476 18
48 77 54
49 77 9
50 1134 15
51 1729 3
52 1449 45
53 1274 66
54 1372 33
55 1428 69
56 1064 24
57 791 66
58 665 81
59 1687 78
60 1442 39
61 1582 75
62 336 39
63 1512 75
64 1365 84
65 1624 60
66 658 33
67 707 75
68 105 36
69 28 33
70 917 27
71 945 18
72 147 48
73 7 84
74 1652 78
75 1274 60
76 847 30
77 91 6
78 1673 21
79 28 51
80 728 54
81 84 57
82 1267 78
83 819 12
84 854 84
85 1414 48
86 1386 69
87 1624 48
88 357 27
89 721 30
90 798 84
91 1596 36
92 1043 15
93 693 51
94 693 54
95 252 42
96 1813 45
97 1687 33
98 931 6
99 903 57
100 420 6
101 1106 27
102 630 18
103 1435 81
104 707 39
105 819 21
106 1274 78
107 1757 3
108 1414 60
109 679 42
110 294 51
111 1057 61
112 1043 72
113 588 30
114 1316 24
115 1337 69
116 1449 39
117 609 24
118 245 33
119 175 48
120 1253 72
121 77 33
122 1008 6
123 189 21
124 1813 36
125 1106 81
126 1519 60
127 1463 66
128 931 42
129 840 27
130 889 66
131 819 63
132 952 69
133 966 84
134 819 6
135 1568 18
136 693 63
137 1316 66
138 210 81
139 714 9
140 875 6
141 742 6
142 1057 27
143 420 72
144 1813 72
145 1533 48
146 161 15
147 217 63
148 224 63
149 84 78
150 1372 60
151 1596 6
152 182 42
153 763 18
154 1540 42
155 427 60
156 105 72
157 938 48
158 1078 24
159 1092 24
160 189 24
161 1750 54
162 1512 57
163 1337 39
164 812 27
165 1344 6
166 1547 69
167 672 18
168 721 15
169 693 54
170 826 69
171 1400 66
172 1092 48
173 539 12
174 1778 33
175 273 33
176 1148 42
177 854 6
178 1505 57
179 1281 75
180 1652 57
181 497 69
182 1057 51
183 1302 27
184 98 63
185 658 9
186 1204 57
187 1218 75
188 553 48
189 980 9
190 105 3
191 581 36
192 56 81
193 819 12
194 161 60
195 518 18
196 1547 54
197 1365 39
198 1659 78
199 1526 51
200 1617 6
201 1162 12
202 1218 51
203 1624 57
204 553 57
205 1785 42
206 1225 69
207 308 75
208 413 6
209 896 15
210 1610 6
211 1491 12
212 294 9
213 1631 72
214 1715 63
215 1141 27
216 294 27
217 441 45
218 1064 75
219 1484 84
220 1722 54
221 1799 63
222 1554 6
223 1743 42
224 560 33
225 1722 9
226 1302 42
227 469 33
228 1449 48
229 532 36
230 812 42
231 70 63
232 511 27
233 1316 36
234 1757 69
235 602 21
236 1722 15
237 1470 21
238 1253 45
239 14 3
240 1204 33
241 1015 48
242 1582 15
243 1421 33
244 21 21
245 1694 60
246 1057 66
247 1001 9
248 238 51
249 1043 36
250 1351 39
251 1169 18
252 1323 24
253 1547 84
254 1085 12
255 1141 75
256 945 21
257 476 48
258 637 57
259 1680 57
260 238 36
261 371 18
262 903 66
263 1701 60
264 679 60
265 721 15
266 1358 54
267 1218 33
268 56 54
269 707 18
270 245 48
271 1533 63
272 1617 15
273 525 6
274 1505 30
275 28 54
276 1477 81
277 1715 3
278 483 30
279 1309 45
280 665 18
281 931 48
282 287 66
283 1190 24
284 973 48
285 1197 33
286 812 57
287 1211 48
288 854 12
289 1358 36
290 1190 54
291 1596 60
292 1302 45
293 217 72
294 168 81
295 917 21
296 672 75
297 399 36
298 343 57
299 1050 36
300 882 84
301 1582 24
302 1449 75
303 1736 33
304 1806 81
305 1428 78
306 826 33
307 966 51
308 1 72
309 1106 39
310 952 57
311 1330 6
312 441 54
313 1806 78
314 1134 21
315 889 78
316 42 60
317 728 18
318 455 75
319 1764 3
320 1358 6
321 770 3
322 1764 69
323 1113 60
324 1309 6
325 371 54
326 1085 27
327 280 30
328 518 18
329 518 48
330 896 6
331 1757 18
332 210 9
333 714 48
334 217 30
335 1323 12
336 707 81
337 588 45
338 1505 66
339 329 6
340 511 78
341 1498 78
342 812 72
343 721 15
344 903 42
345 1750 18
346 1323 12
347 581 57
348 315 72
349 294 6
350 329 60
351 763 18
352 679 66
353 777 21
354 889 27
355 707 36
356 1603 78
357 553 78
358 686 78
359 1211 6
360 1414 12
361 1715 78
362 910 12
363 343 45
364 959 54
365 812 72
366 1029 33
367 1 30
368 1722 57
369 602 15
370 560 39
371 161 9
372 1379 27
373 1099 57
374 1645 12
375 525 21
376 1519 3
377 35 30
378 868 6
379 427 15
380 154 9
381 693 18
382 1379 6
383 469 84
384 686 81
385 833 24
386 203 42
387 455 48
388 1498 27
389 896 60
390 1666 27
391 1799 60
392 119 57
393 119 66
394 1561 24
395 868 51
396 994 36
397 1141 9
398 1470 21
399 511 39
400 1358 84
401 189 54
402 721 18
403 1652 45
404 1225 54
405 1134 9
406 1393 72
407 210 78
408 980 21
409 826 84
410 1624 75
411 742 12
412 742 66
413 854 15
